,X,Name,LONG,LAT,ET,PET,NPP,WB,MAT,TS,MCM,MWM,DJF.Tavg,MAM.Tavg,JJA.Tavg,SON.Tavg,Log10.TAP,PS,Log10.PWM,Log10.PDM,Log10.DJF.Prec,Log10.MAM.Prec,Log10.JJA.Prec,Log10.SON.Prec,Log10.TRI,density
1,1,Punan_(Borneo),114,3,18.5348053,1421.660522,2538.475342,9429.339844,25.37633324,37.57252502,24.72200012,31.37274933,24.92941666,25.78391647,25.5826664,25.20933342,4.035509785,14.89860916,2.567026366,2.382017043,2.966610987,2.949877704,2.877371346,3.021189299,1.45484486,11.8
2,2,Kubu-(Ridan),102.69,-3.04,19.13923645,1450.153687,2546.989258,7378.846191,25.56093788,32.67868042,24.97850037,30.46274948,25.18333244,25.91399956,25.40625,25.74016571,3.945960704,32.39899445,2.555094449,2.120573931,2.980003372,2.90579588,2.620136055,2.886490725,1.829303773,9.2
3,3,Shompen,93.77,7,20.54540634,1736.003418,2462.315674,6030.996582,27.01680183,49.8408432,26.33260918,31.29999924,26.72210121,27.63677597,27.17119598,26.53713799,3.890309217,37.59835815,2.481442629,1.963787827,2.753583059,2.655138435,2.85672889,2.931966115,1.267171728,39.537
4,4,Jarwa,92.69158,12.18399,20.59719086,1720.462891,2556.199219,6913.537109,26.916996,78.03551483,25.82481956,31.30683517,26.1743412,28.0050354,26.84856224,26.64004898,3.936262342,76.89501953,2.683947131,1.204119983,2.214843848,2.624282096,3.115610512,2.996511672,1.074633618,44.65
5,5,Andamanese_North,92.89,13.32,20.21805,1717.429443,2564.66333,7003.570313,26.87674332,95.9203949,25.30516815,31.5232563,25.76218796,28.07484818,26.93496895,26.73497009,3.940616082,88.02300262,2.728353782,0.602059991,2.120573931,2.567026366,3.169380495,2.969881644,1.146128036,33.38
6,6,Semang-(Jehai),101.25,5,18.69561958,1347.976929,2489.45459,6653.022949,24.88079262,51.60442734,23.98525047,30.03524971,24.28174973,25.51466751,25.03133392,24.6954174,3.903198547,33.1496582,2.553883027,2.079181246,2.716837723,2.852479994,2.700703717,2.971275849,2.040404529,17.57
7,7,Vedda-(Rock_Vedda),81.25,7.75,18.98596764,1932.55127,2111.748047,3566.44873,27.6449585,157.7297821,25.18925095,33.95349884,25.50099945,28.49308395,29.11616707,27.46958351,3.740362689,74.02585602,2.604226053,1.230448921,2.8876173,2.423245874,2.245512668,2.79518459,0.882239848,18.5
8,8,Hill_Pandaran,77.25,9.25,16.73568344,924.1474609,2109.976807,4565.852539,20.3379364,120.07827,18.52249908,25.9972496,18.97833252,21.92591667,20.41441727,20.03308296,3.739651444,52.25033188,2.436162647,1.62324929,2.36361198,2.482873584,2.824776462,2.800029359,1.948779614,70.37
9,9,Agta_(Casiguran),122.13,17.33,17.28079033,1142.581787,2413.792969,7260.417969,22.94354248,174.853363,20.05649948,28.81925011,20.43166542,23.64766693,24.54858398,23.14624977,3.924486044,52.98690796,2.677606953,1.986771734,2.760422483,2.621176282,2.807535028,3.067814511,2.349277527,87
10,10,Agta_(Cagayan),121.8,17.82,18.16408348,1761.531616,1994.983154,3179.468262,26.81106186,204.6083374,23.5359993,34.21849823,23.96291733,28.03608322,28.61441612,26.63083267,3.693902741,74.90626526,2.51851394,1.255272505,2.250420002,2.274157849,2.689308859,2.900913068,1.375663614,37.94
